Revenue_Month,UserType,Revenue
2017-03,New,952220.738800001
2017-04,Existing,295191.7498800002
2017-04,New,1754029.7779200058
2017-05,Existing,239488.67259999976
2017-05,New,527501.828079998
2017-06,Existing,296838.1680000005
2017-06,New,666958.2959999983
2017-07,Existing,350725.6520000002
2017-07,New,675085.0119999981
2017-08,Existing,243607.86399999994
2017-08,New,530335.875999998
2017-09,Existing,442038.0639999999
2017-09,New,788401.1079999967
2017-10,Existing,464278.1039999997
2017-10,New,806840.6440000044
2017-11,Existing,442091.4280000006
2017-11,New,897279.4279999995
2017-12,Existing,263241.73600000003
2017-12,New,542442.5199999996
2018-01,Existing,288227.80800000025
2018-01,New,683409.4559999978
2018-02,Existing,293461.4880000004
2018-02,New,707852.612
2018-03,Existing,283998.03599999996
2018-03,New,647829.6600000011
